colName_FirstName|colName_GEN|colName_MARITALSTATUS|colName_EA|colName_COUNTRY|colName_USPHN|colName_SSN|colName_PAN|colName_NIF|colName_I|colName_INSEE|colName_NINO
kabakumba|Female|Married|6__2Q.__N50Q@[43.04.9.38]|Йемен|385/902  3222|341 68 5543|N<I<<<B9C1MMO0910789Q8993929U<NEE0N<<C<YUB04|X 3236286-X|LwxprqabpVxvo886|224129407108283|ZG 23 52 55
themistocles|Male|Widowed|tc@6.ufQ|Соломоновы Острова|+1817 / 600 4054|748 76 0973|<470<<<9H1EJD5415864S274560359G<<U3E8LPUYY60| 4049443-Y|PtffynzbeQboy105|897012A88051824|SB 80 82 20 C
growing|Female|Civil Partner|"_.Q"@1-qZ.-.-f3-iMU.k.um|文莱|1.(993)192-4750 |603 44 1410|U3L<<Y<2<3XWZ4694443A48021661<L91<923G2M<567|-2227262-Q|DshujduojIpyg088|107102B36778103|BX 67 36 73 B
ledicia|Female|Divorced|u1bG_P4._K7_.g@[647.56.7.766]|毛里塔尼亚|+1(578)  4745837|660 20 0143|H1Z3<3M9<1LUU9738378Q113517717RG<U9<ESY8YU54|-5528429J|RliogadcdVozm607|213039737841470|HT 99 92 99 C
eduards|M|Single|42g1@me8.-x-P.K.m.qxeZ|Albania|+1 011011- 4023|605 08 3174|1<K0O<7663YXE5859879B500540674<49<R43Q9<UV50|9779736Q|49EafbXrFxvpl7ozNm|852031374403896|ON 03 16 62 A
sebastiaan|F|Widowed|C_0H_.2@[054.3.837.9]|斯瓦尔巴|558 235  5847 |382 78 3066|<G<<0Z<5<3XEY8721297F8212434R9<O0<<<<<3<<505|1286391H|WtadxuxcbPeeh954|212070147722195|WJ 14 36 77 A
vannevar|M|Surviving Civil Partner|Z.__iTk.q80_C.sI@y.1.9-j.8rJ-e.sZd|Сент-Винсент и Гренадины|(221)- 538/ 5652|702 49 2058|<4<<1<C4G3BQK6718866B16780191<<5ADX<0H<<S380|X3509749K|PnnzvssanTzxm759|269083655087726|HX 89 54 45 D
narcizas|F|Civil Partner|"_"@QRYVe.s.EN--s47qT8.9e.SCO|Guyana|248  552.1416|712 14 1156|R<<<<<<8Q2NAB4263538T81246228<W2E<<A14I<Y167|4141667Q|2lwwedDro621ogigb|102002362625680|HB 95 31 93 B
soumaïla|F|Civil Partner|__B_U@852.-dK-h5j.5m.R.TybWH|Италия|1.185.9710052|295 09 1416|<5V<64D<<4BFO9360406W12038662<86AQ<7N<<<Y880|X-1786774-M|KabutzfjcCgyn105|726119473276264|KE 49 55 78 B
ferrero|Female|Widowed|_l1._xydm_Pl@8gK.R7-5t-o-.MG-.6P7.Xz|San Cristóbal y Nieves|070-693- 5315X.7|771 62 1567|J<2H0F<307BEX2892890V7775241<CI<47<<4<ZQ<M69|-5201787 R|YlkwtebryPccd451|276039330690422|EC 71 00 53
xii|M|Separated|k.6.m@IL-YDXPN.jX94.m26th1X20XS4--rx.X.FvPIUy|Kuwait|1(167)  712 5263|453 97 4872|PXGR1<<2O2ALD4135707C2843064<G6<VY<3M9<<O<22|-1348614B|EydenpijtNbyn099|880092B05035183|KX 50 77 46 C
tatya|Male|Single|hk_.Ts._.9@0.VR0h.5eu7O-79e.vr|Schweiz|(244)295  1903 |462 75 7492|2X<TS8<<X4QTA3687587F9192908<<8F<<AU1<AGU<98|3877252B|RbcbfnftkGxhj425|815112A26422583|BP 62 09 24 B
marzia|F|Married|"__vrn"@-Fw.cN|Griechenland|016605  9302|009 24 0422|2L<Q20DD59HEF8562299U4777420<3<CYI4<420<0<60| 8907326Q|57CalpLhHoeqz6mwGc|226026799747625|RL 51 40 15
ambadas|Male|Divorced|"8J_C"@io5.qc7.--v.k-.tu|Южная Осетия|121 214/ 1978|772 67 4248|223<G1<E<6TUD4113779R5466490S5<38<1<2SJP<G88|8324951Z|LshwmewefNixh130|718101905730784|XB 48 36 30
pasquino|Male|Surviving Civil Partner|"26_9_M.K"@2Ivb.0l4-.-.LJ|United States|1(962) / 8472011|584 08 0053|<Y<J<Y<BT3SNP7751407C3828045357<W3M<6<T<<J29|4214099T|5130284101.72954|830061240702622|GB 65 12 22 A
legare|Male|Widowed|o1B_R@u6-.-.6YG-o-6ty-.V.owoRF|Griechenland|0381180367|262 78 8916|X070QZ4Y02GXR8967007H33682741GL55P5<Z174<<02|X5314107S|6vhpgoYjl520ovpjp|793091030721691|KP 79 73 34 D
nemani|Male|Widowed|"m2.Vd"@xS.-.Mw.3P.SqcpWI|新喀里多尼亞|1(801)5449646x18|441 50 5601|<<PE17<<<2KSN7734280B7828833GR7M72<1T<<FNT46|-8917869R|87CofniinDixuByv6q9|295051955982314|WE 93 92 55 D
monsewer|Male|Widowed|3AYo_uU_@x.-.Bs.m.Xd|Bulgaria|045 7390076|713 50 9194|172S2238<3VSD3953312Y1991558Y<EP<B<59<8<<L53|-4942327T|3pckdzNpd651hauts|896100728241953|TL 58 40 70 D
silke|F|Married|P___.6G@[1.1.6.180]|Sainte-Lucie|9486158147|770 91 0378|2<8<E9<<<3ZEZ4448614Q0335113968<8O<91U5<3V69|X-0158939P|8gvtwtUdp475yrgth|115102648099064|PT 31 26 36
tsu|F|Civil Partner|v_@-.---.U-d-1-.U-027g.Ay|Panama|1 186/ 0299324|706 95 7479|H<5<659G<7KVP7517150P2164350<<X<HG0U4<8<<635|8547327X|6459530866.42208|252099738265627|EM 85 87 08
vatsu|Male|Divorced|80._@[9.059.992.2]|Turkey|172  3155820 |590 50 5919|<2<<GW<I<6UBL5705735U02111109<S<<<T<T<5U5G98|X-7784871S|2nrbwjBab899ylfos|191031223607489|GX 19 86 89
poykayil|F|Surviving Civil Partner|3t.8_.1J5_Al_j._L.Z8Wpbc_c@T-sE-.-kqQ-7NK-.M8.mX5t.LO|Gabon|0852786272|772 00 2690|<5<<10H7<4LKM1200645B54224651<5I4798D9<WT<66|-6540596B|MiietkpuiTvsd335|144099711044711|RP 40 98 50 D
zurab|Female|Separated|_._x._._@h.6.JM|Gambia, The|1.900- 845  1846|729 22 5043|6<2<Q50OG6VVS3861786T6013988Y1<07<VE<M<U1V39|7674421W|DifuxvjftHcxh172|829049736440711|EP 09 56 55 D
maitha|Female|Single|"eq8H.W__"@6.v.d2--.6-O.ZQG|智利|(304)  840-4893|763 69 3140|U<Y7<O1A31FAL2661217S4942910<T0<3P9<X4<<6<83| 2226777 P|6btrsiJds096ytxyd|182039260969938|EK 32 35 34
corben|Male|Single|L._51s3BS_.v_@rc7X6.As-B--N-tvW-swb-.Z.C9tI-kF-xLz.lGH|Georgien|023/2313545|632 20 8210|Q9R1E<<828HYC3416274V35562755M<<<4V<02<9S<13| 9068653Z|RxnhatnnaFhxy374|756100123157807|EB 87 22 28 B
geneva|F|Divorced|oV6e@[855.1.003.58]|Färöer|210/ 327/ 0161x9|126 70 3119|H<<<P5<<X5DOW1289805F3732651<<7X6J3<J7DTEE83|X 3392081S|78QdipgkxMznpMsi0h4|799096412524683|JR 19 49 54 B
solenne|M|Married|4_z.f7N0._.5@67S9--HUI26t.6C--XJ1u1L-296vM.-v.-a-r---nC-w8xnkp.mL|Jamaïque|(111)9194485 |767 20 1214|43<26<V6<3KYY1499675O8813952DF<2ON6L<87<0T39|-1807970G|XwyoysopuSktc657|196083412933251|BR 58 13 68 D
faqir|F|Surviving Civil Partner|"_yr._qz8"@-b6eno3a0-Llb.C9Z-E.--87HC.4034-h.Jz|Islas Vírgenes de los Estados Unidos|+1 (003) 0473583|088 58 8069|<KSQA<R<<7GFY8411458B0558572E4X68Z411<7<9110|-7745994Q|8249289790.74258|239021431924847|GP 53 36 13 D
chamique|F|Surviving Civil Partner|M9k5@[7.807.2.745]|Malawi|250984.9489|770 57 0593|<O<<67O<<6MOV9247348O5180328D<0<O20<5N59Q850|X 2336385G|PhsglbvnwLjxe398|218041990042550|AR 01 50 32
oktavia|Female|Single|61_R___B@[3.8.56.29]|Arabie saoudite|(369) - 519.6196|294 05 5101|8J5G<K<QP5ZQI2971960J5179079693<A<P<J2H42<96|1170176D|CkpctocukTkcx944|113025288683910|EW 85 98 50 C
chantal|Male|Single|"D.1b_WU8_D.Z"@-ps--.4JKH.3AASk7IvlA0-91-S.8pm2-pc2.wV|Island|+1135 /797 6102 |698 59 3218|3<K<<<E<<9UTI2852096E0858889<96Y72G0YA<<<089|-4832406H|VzvasiuunHsta216|759101002676749|MK 89 01 60 C
amer|Female|Single|K@et9ul5.-qLc95-.T.34-xh.Ha|Îles du Cap-Vert|(720). 755 .4913|771 82 9647|<83<<<5<78EKX1385819J7878854R<<<3BXI0<<<Q388|8166023-S|QjefixregLrgb085|813121008734801|HE 13 25 22
yogacharya|F|Single|L_@--5Ss.--L-P.4F-1a4-.j.UXg|香港|+1(095)751.4121|318 76 1417|5QT<<N1YY7TGT8367562W1382333<7<E0736O2<7<<54|-7087043V|JaazysnqqHqrf330|721111297011606|PX 27 45 24 B
baraka|Male|Separated|R4@GoFpqN-w1u-r7A.27-I.P-u-1.-Qj4d.sC|Вануату|+1/904.4684757 |772 36 6144|GU<5<37<<7GJD2751956D56222237<RRE<0<<T<H<468|4564188 Z|KxrlonixnKjcq341|750054133236510|PA 65 28 04 C
adaon|Male|Widowed|"__XK__._ZK"@[798.59.3.202]|Оман|1-(360) 921.4000|770 05 9516|Q<L1EC<<<7YTR3202160N1233523Z3<C<<<D61W88N64|4013864 Y|CpocffdiwShim704|819101558841560|AW 01 66 78 B
aadnesen|F|Civil Partner|441o@[609.1.5.2]|Iceland|418. 508. 9815 |170 06 7374|3UK<<<XO<2NJI1534293X8225393<WL9<J<<B7B2<404| 9397208Q|VhjlrusbfUiuk127|274121534993183|TG 81 12 40 D
petar|Female|Civil Partner|_i_v.e98DIGK9._z7_n4Qr@[462.58.88.66]|Niue|(533)143/ 7890|770 18 2892|<6603U1<<8YOQ3711573C1577325<8UFO<<934<<<W07|2637537J|JtqnvrbmzQgyg691|777029135837786|GR 21 67 85
zihan|Male|Single|"_.3WP"@Hvd.I3jK-E-x-75l5c.Yd6.-9-wW.XpZQ|Гайана|+1-727217 .2847|157 31 9397|<193B<TSM0UQC0798678A1080905<<5Z<<8<8<008<17|X0726878H|AecuuyjyoFooj727|139121074038217|JP 58 48 84
kiiko|F|Single|m@RStNQig.ZMS|Madagascar|+1 1629112317|771 06 1453|05R<<NAK07KWO3753878G8784055HN5<W<0<<8<0<A98|6769893 V|XtejbolmgAgfa484|827109714181882|XM 24 10 78
terje|Male|Divorced|sV.1d.dOf.b7.32fkE8@e-6-X3.-P3c.r--5W.LF402O-650-s1a.SBc|朝鲜|029 3279399|770 96 0074|M<L<9ISK<2EAW5766594N0543698BT867<<<XE65<593|6702489L|5nagmrDmw515kvzqt|858121240877801|OE 97 36 08
micael|Male|Divorced|0_@0x-F.0C-nRUg.7V-.i-P-.gi|Алжир|(676) / 8539746|277 33 7836|<Y<64<A<T0TQX4231255G0012665H503X<78<<WP3451| 3702515E|49LysddpmVbyvFgn3d4|207010997787093|HN 26 09 13
latchezar|M|Single|C__@Y.C-.0--.ia|Мозамбик|7324107030 |739 82 8950|BO<6<7S<C3PWQ9775282H1314347<ZU4<<Q<<T9<<B61| 0511667S|MqfvjbwzlSapl555|279125678236383|RL 26 48 17
hortensia|F|Divorced|"ntT.kn"@[3.0.4.43]|Самоа Американское|020968 -2552|766 83 8396|4I<37DX<<1KME0532060G25664120<78538<GC8OJ013| 0530195J|EreerqfrqVwfm692|801112770134629|ZT 64 39 27 B
cuairsge|M|Single|g_2N_.OTG@9-g--MBE4s.--3--JrO0-VFSq-v.-9.m.PPUU|Curacao|(628)427 /2778|758 01 4589|<<34E<A<41PIB8736830Y5731369R1<0<<<X<<927<97|6136054-W|SjjpwtwwkPfvi366|729079202707813|SL 25 79 96 B
kathline|Male|Separated|Y@[45.159.791.2]|Allemagne|(084)-3641040x 2|615 63 3374|<PTYSY0T<9MMH1192210Z5394410<<ME6<<PV<R9Z380|1799612-Z|8ibrisYpn407lozvl|122081807551319|TA 71 27 62
erundina|M|Married|5Lij18@i1.1--LN0b.-.V7RHw.xj|Фолклендские острова|615 -157/7711x43|772 21 9588|C<0K30O7E0FPE3596696Z3107520647M2KU<TY6<PN17|X 1528187D|DsiteporqTsdo395|882020190185602|RE 78 22 24 D
carraun|F|Civil Partner|_5y4__@X.F5e9.83D.4.HXqpJ|Dominique|+1(907)/697-7743|375 33 0836|<KIWJQ<683ZOT2706424I4298644<A83I9<<<CCWCZ42|-3410654L|OvpubuufbYwzt268|110112416138281|ZT 99 89 95
atherton|F|Divorced|G_@-h7O-H.7-.k.xLa.Tv|尚比亞|069-295/ 7359 |772 09 1740|M9GY7<6V63IRB5949512U7682546<<5R<73<UR827Z53|X 2481295-S|ShmomfwwsCqal009|809058717948556|XM 31 74 53
ciria|Male|Surviving Civil Partner|"0"@[192.554.8.7]|肯尼亚|(448) 5789365 X0|590 09 5959|3GX<4<LEC8MOZ5637090M9524656LR4<V<9W5<5<<<29|9810541V|FgmxwgzaaVlii413|229121617055850|EP 25 60 54
poh|F|Single|S.mn5RSF._Fq@b.Of--.Km.IPTr|Südkorea|9662029873 x.5|561 27 5307|S27X<1<<N9KRQ5786031V9057664Z<S<85UKIRRX2<65|-1905473Q|TbwqtlbycXgpd117|787109710124334|ZA 63 40 31 D
meray|M|Civil Partner|__._65.f6r2._.R_i_@w.-3pqmF-X.--423.-.ktWbLf|Сингапур|1(917)-225- 8484|654 07 8047|5<L4<F64E2PSC5409048C6499201V<U451<<<8A1<651|X-0746088 W|KmilmhiuuPlyh880|821059328840890|LL 54 12 44
larry|M|Married|Q0__@6.-.u-.XYC|尚比亞|092502 - 9340X 5|455 96 3560|2<4H6A<0<5KHI7307327F97650312B2<S<D4<<<C<V54|X7611396V|DiefwosriBscl016|854085971889025|SB 81 34 74 A
terina|Female|Surviving Civil Partner|"H_k06"@iaO.f.YKdO|Tonga|1/(703)/028 1682|089 06 3478|<<6<<<S<W9YAG2975713O1564343<33N51<IP50<K<22|X 7554535Y|84CousejoYrzdYvo9f1|198062303035660|HG 28 95 48
vigolvino|F|Married|_V9@[3.008.153.128]|Inde|+1 378 9908083x4|770 14 8025|0<9<DK<147JKR0381665J74454874122U<60G<<2<064| 4187156 T|VwvzpqkzvCuaw238|752059735452208|EC 52 04 81
badge|M|Separated|A___@2.-.e29J-.-.zWP|Острова Кайман|740 6285260|189 12 2816|2N7D<<<<54WEC3353347Z2320171OB<<P<<PS4<5MO84|X1089686L|81OlcexegAdzkHza6t5|292009240442158|ER 56 92 86
kenyatta|F|Divorced|A6_EC_37.EL@aB--z.D-0F19-9hCm8kSeJ.08.b8-Y5FB-kuy.ZEzi|巴西|090. 6612709 x 6|714 01 1309|EJ<B2UWM80BDY4193920X8873296B5O<51<<<5<P4<27|5426843K|ZmsumreqpXhvh506|831005602225123|BW 86 02 12 D
lieselot|F|Divorced|5@1-B45t-jvm--0H.b8--2S-.-5-.-t.ZO|Bangladesch|1(983)/ 040 2383|314 15 6301|<7V<15NEZ1QOR8851136Y3743147<U<<<<8TB<<U9<01| 8797665S|StprrsndxIsij414|824049728044819|OY 05 38 38 C
epifania|Female|Divorced|_@5--7G-il0.1D-.6-8v3-.-6.bUAEp|St. Kitts und Nevis|(433) .418 2166|714 60 5924|5B56<3<8<5PZE8493156S3688684N<N<VW<0<<<<<Y76|9698546 T|RfetjuwlrFfxs890|184110531648869|XH 31 50 96 C
elfriede|Male|Divorced|ly@[8.95.0.6]|Nordkorea|042 342  1147|463 89 3743|29733<H7W5CLI6353244J1805778<<W037TI<<W<E092| 6898888Q|3253295824.93564|267051485452352|BG 63 11 14 D
cabeza|Female|Surviving Civil Partner|6Y.p@k-.5-.-.4v.DGYjV|Pakistan|+1-(084)/9690392|770 77 5897|G9<<8Y0<33SHQ2432656C1155184<T<0BNK<9<PWF786|-7141919D|BbqtptrwqYili608|732033577210018|WM 58 24 12 B
dawna|Female|Married|"_"@-H.-.0.F7D.DK|Canada|037 9704162|626 89 5592|3<00726<47MJY7022154V3274581<V<P<<M14C6<6U83|X5679991B|DwjpdrhxnQfsq407|110110554155975|RB 52 06 37 C
teres|Female|Civil Partner|G.k.o@2uZBLSW1.69e.kU.--.jJLCZm|Колумбия|781738-4274|772 85 6517|9C<51GY<R2WLG2424645J1213727NNAPS3J2373IU319|-0460120Y|VptdcyqbfEtzn553|110071150308508|YS 89 46 11 B
pedram|F|Separated|r9._D._D4@Z2.Dp-7.N.6-.oM|Bangladesch|0347936050|726 69 9796|4X3K<<<1S0RRN0495570C2593379<9<<1L<U<V<M0709| 9149835M|2551335811.07466|763118808494120|EE 70 37 02
angy|M|Separated|R@--i0-.8Z.-C.m---wk-FhB.wF|Острова Кайман|+1829714- 6203|133 45 5643|S<L5ZN9V<0WLE2035872H1827259<<1<D<<5<<1<<285|3178841 N|SlzwsubuxKozz589|121100417604649|EN 07 73 16 B
leleith|F|Single|Y@QAhT.-gXoq.v-ZG80.645q-fe-.pFIQnf|Baréin|1.067- 4982192|772 33 1587|0<XJ4<8<<3SDA7527060R4622029D<<<<55<5<NVW<58|2483554 T|MgeklolxsMhya432|853116192205026|EG 51 64 69 B
bernardino|Female|Civil Partner|L_.9__WI._@T.2.6.ExHm|伊拉克|(765) 364.9397|768 88 6209|HT<90<TT<9OJE1711526R648582057ZZ<<U7<<<<JQ25|-1199750B|OtdgomsocMjfo155|288039731254587|BP 47 09 91
savino|Male|Divorced|"H._.9.k_Z"@[2.1.0.4]|Chile|+1537  625  0527|770 58 2098|H2<K<1<<<0PIG3943137E0463038XUC9E<S<XK0<<<73| 8637437 T|ZejnqajuzWfkv239|169081332792663|RB 28 40 70
kaptan|M|Widowed|RV_.9._Ong7__e@n.4-qaEj-.-xTb.A7JUm.raNtf|Honduras|1616/ 1902073X36|771 83 4352|53<4OFKZ14WMF6709543Q0326087<2<11B<X41I6VE14|4436854P|ZnxangicdOohf042|710107137465776|HS 27 81 45 A
cimbal|M|Civil Partner|aG@l-g-.-3.--QR767kl-5.8.Lx|Érythrée|013- 6330955 |743 13 6660|<9<K<8B4D3FKU0238240R7576869L6NT<P<J6<<PK068|X3463292-S|9972419667.77626|228115659840689|EP 08 26 24 D
naixin|F|Separated|z.R@-o-.-0xzvPHv.-Hg.0.vNVaSz|突尼西亞|009.651 4233EXT0|772 57 7414|U<3<C<<A02HJQ5749577Z13963988R<MS0S596<5Y540|-4431229Z|25DovbnbkInpjCoa4j1|221083744260642|NB 53 44 30
dorca|M|Single|_P1._.5.2_._N_7@[9.282.2.9]|Эритрея|1/970982. 4593X1|753 15 1419|H<F<<<UT<6ENV3462427I2326791<9<<<<<<VC<IFE16| 4618756-C|XxpvhxeahMahh393|125041680283540|GW 00 13 13 C
evars|Male|Married|"l1_xa._RUl"@----I.-.-7m-.-B.pGcxDM|Pakistan|096 912 .6272|771 16 7025|R<8<<996Y2TAO6959372Y7525011W8LN5<8957<8ZA76|1018562D|MwpedqlpmKshk483|108109393100521|YJ 79 69 98 C
bemamy|M|Divorced|_@Q--.s4u.9b2.wI|Ghana|1.772. 0832782X8|172 92 3506|<<1H<7<<<3HJS6628676W3584066<<8<17<SZ4RWX<30|-4975354-Y|9szvlyPym324mymba|295079110078972|ZH 52 65 94 C
regillio|Male|Single|i@-c7.--7-RI--a.LE|Vaticano|189 828 3744|771 81 4259|055<<E<020EDH5881560X4529591R<9<3<1Q<62<SJ25| 8839932R|FaicplicbNiua375|135090904632619|EB 19 29 62 C
cserhati|M|Single|"CV._"@--eIpP.I0-4.8-6c.5----t5-.ciV|Albania|692  374-2790x.2|771 49 1731|9QDXL3U<<6RQJ4542742I628597903<<X284<<3T8R02|9391848Q|01GlmwBdPutua4ocRz|749069739735122|XB 57 29 04
keo|Female|Civil Partner|HTNRb3SR.F_E1@[6.0.1.7]|Bermuda|208.9825679ext55|771 07 4139|T6M14<O2L4RXB6448967Y704280387Z4<<A<I<XD<879|-1153357-Q|UqxtjgjjgSlpv502|809112196812660|OP 84 97 32
rishat|Female|Divorced|2.528__89M@FoFIFit--abD6xP9.6.p8h1.38p-4F.wSGz|le Saint-Siège|4876777654x0238|770 39 8316|2<V7C<<815ZGK7696390V9631122<LZ<<<F<WY7<U636|X-2724613 X|KyajivjbzItqp258|165029526936655|SG 89 89 60
wladyslaw|Female|Widowed|D@-.7-ox.4120P40.Snp48bIM.Nme|厄瓜多尔|+1 (052)967 3850|700 73 9230|<UPG1<8<Z2RZQ0830442E6456107<W<<<<O7CVVG7586|0325972G|MhpfxrtfxYqwz787|859104709342152|LB 10 92 53 A
yi|Male|Widowed|PqbR1xz2.Ni_05@25-DiR3m--Eu.9Um2.0d.S-88b-h1-V-0d.XMG|Ouzbékistan|(177) 001.9492x0|702 69 3227|USA50P<<<9ABH6814277T20986108LY7<0PZ<<<90<44|-3596115S|GslqkabjtRzfr426|138011198011016|CL 55 31 54 B
quadtrine|F|Married|"W5.A"@T-5K-6-7-6Yv4fu.r.6L-z.8-.JqdIIo|Vereinigtes Königreich|(126)138 1600 x4|771 34 2362|K22V22FB<6RUV5160992M8441318<13DJB<Y30L9B565|X-5423708H|RfpmirbruJraf023|837110997032613|CT 89 65 99 C
waheed|Male|Civil Partner|"77"@--59-.R.kbaRM|Papouasie-Nouvelle-Guinée|+1-687-044- 6822|668 90 1667|RN4<F<74Q7NJT2181581V9572551P5<H<H<VW01O<860|-4327671K|VliaeofygCcct082|853000725247333|MC 78 31 61 D
kostiantyn|Female|Married|"t_qqH"@--1.a0-.-.5Uc77a.Etyx|Jamaika|675948/ 3406x 4|727 09 4811|R49<8F69R6RQU4895954L7421539ST1S9<<6<65PS<00|-3471441S|ZppdfuqwqYrtz864|795020835747915|RA 82 40 77 A
mims|Male|Civil Partner|sg.x_R5__29.tp.p_@[9.8.1.8]|Belgien|(015) . 9133387|708 78 9009|2S0QZO<<G2NNA9464978V37421418Z6<06Y<<4<UMR95| 5794044X|XxcgwtnilCmau694|840119391445522|WG 38 87 18 A
sirajeddine|M|Married|j.y_5sP6.j@[41.25.41.033]|Île Maurice|+1(269)/ 5332012|772 75 9714|<7<E<V<<H7RRF6662385Z33790829L<V2<F<60BTTY87|-2249572 K|AzduxffheRcuv671|843116099181239|XA 24 05 01 D
sabino|F|Civil Partner|_@[8.0.3.23]|Slovénie|895/3939973eXt03|115 89 0529|<Q4<HGT<09RJN7902108Y4619154<<VZ<<<08J69<259| 8138589S|0256731438.26494|228072333671132|EZ 24 01 06
florian|Male|Separated|y@-.6E-L83-.d3D.Ns9--.QADKPq|Haïti|1(539)/ 2928507|253 53 5328|<<2ZJ3V7<5UKW0241657Z67600058<<<<RL74D<AM<89| 9153053W|ZgyovtizaUgfo207|895110294560067|XG 51 57 40
melecia|Female|Divorced|1v.QDp_F4__.V_k_MVi_@-.ig|São Tomé und Príncipe|(596)498 / 3755|039 22 6649|N25<<<<PW1QKD6557685M3509824ESBKG<<AET5SD<55|4564449V|VugkahkcpTgnq975|174039748592902|HP 28 66 30 D
güzäl|Male|Civil Partner|"TXR4.fP"@-E4Y1-.50.u.2.je|US|1-(558)  9035667|145 82 6209|EC4<84QVP5PEW8363812V0596729H<<9WY<I<<<5<<13|-5760061Z|DacvugjyhMqhd920|836129101111672|WH 92 34 61
luciene|M|Divorced|A@--M6.R6.-45V--bld.7WX.mO|Islas Caimán|181/ 5816838ExT4|410 46 6006|8<33O<T805CMV2535648P9547645VE<690AV<2<49J43| 7652586G|JuyvopwvmVoko278|832019312551403|AH 67 27 65 B
polina|F|Divorced|F.4N@VC.de|Azerbaïdjan|+1275. 021. 8737|771 50 3972|Y9Y538NME6YHG7434933R0559771<O<756<<S<<DY<89|-1881333V|MnhahxkvnShxi162|222129716763463|AY 56 35 83
ixai|Male|Single|"_k.n"@i.716F--63sU6.eexc6w21I-8-.-c.Nhd|Tadschikistan|160/ 595  7483|280 34 6990|<DB<07P0P5PGA7444615V8407071<H<1Q<22<566<<10| 6978702L|KbrsgdriaIopf520|858102B03503897|JC 76 02 58
anaid|F|Civil Partner|O@MZl-H6jj2.-.6K6.W.ul|Honduras|+1/212.875 2179 |772 75 4370|<<A2X<10V4BFL5010778U648953236UJ0<47<5J7DJ47|X3951888J|CweeqbfnsJdtj660|151059290787638|EZ 90 37 43 B
tumi|Female|Married|"R.U5.W8Bx6_6_.C81._0"@[536.31.814.6]|Демократическая Республика Конго|+1(396)376 5362|265 69 6207|2<7O3AF<45RAS8751425N4040282<SH6<57<Y9I<WM02|5320618-S|NpzdkciacLlwy810|257120474049012|BR 15 97 09
caty|M|Separated|4H1A5h@88M.2.WkU.-B.eal|Мали|+1(840)5219119 |406 24 8078|2<9A<260<9SKT8545711N0447863<<R<1E4K<1T0N987| 1634430W|QtxezoiopKshw002|264121859304077|RX 45 07 42
zhaoyun|Female|Divorced|_@c1h0.pBrC2-dOR5.I.M-cAk.zFX|Demokratische Republik Kongo|+1 .155/373.2266|177 15 8683|<<<<<<X<<1XJO6651626G8834652<74<<8<I<<<OH<72|X-9857021D|2dxtzrFpd983vpshv|158042143679001|EA 39 46 54 D
blasco|Male|Single|C0R@5VW.--Pg--.3-82-2.c-2-a9ufK-8X.Ag|St. Kitts und Nevis|1/714797 /6470|403 99 2688|C<Y5<<7<<8XUH0302582N64139707<<<<V528<D8<<00|5713359Y|0521227277.02225|140109237165184|GW 60 86 59 C
samiksha|M|Separated|_g0@2fn.j.a.7--5--eU--.Vit|Самоа Американское|034.943/0585|178 62 8764|<<M<KE7L83MGO0151285J232743632<LG<9<19B5H<02|0219721L|YpxbuoohdPxlc696|760028519941887|XG 93 54 61 D
izhan|F|Married|FNBhG@D-t.L-M-9.9K-Y2--8Q.Fv|Germany|619 - 046. 7164|249 91 6213|<<Z3<4S<51NFO6877332U35180386Z<<IN<<<<<A<<59| 0512070S|PmpizufatTimr952|200067509297457|YW 01 74 84
zakarya|F|Married|_7IvO.ec_.iIho5@-5-GthCqS.6Iay19.P.80-P-s-cVn36l3B-.yvslXR|Svalbard|1(284) 348-6303|223 39 5387|<<5K<H<254SMQ0853118E8274043H<L2SANK4<S6PD37|0898421A|TkntumfffCwgb855|102103081909350|CN 74 19 37
jamleck|F|Separated|_@9A--.4V-D.5s672-.Ao-v.GtaB|瑙鲁|145-825 .1048x02|680 25 0420|7<E<S<<7I9GSR8721317J2224042BX<F<78F<<<05596|-1862877 R|71FzyyUqKnphm0waZn|239090343563383|WK 69 59 05
jerneja|F|Surviving Civil Partner|MG7_.819S.gCK0@Vs0sz-.Tc|Bélgica|528/868/ 6070|705 08 8272|<6N4<Y<K95QGO4792522M69949718AY0<<Y<<<2J<186|7546064K|MmvslcubhIfdg153|290072398238952|XB 61 03 90 A
indro|Female|Widowed|xufs_.xm7NtFvB@1k.z-4Obom-o0--GB.6.-Q.QOtGvk|Шри-Ланка|+1675665- 9383x0|183 43 7604|<O8<<V3967ZSQ3773070L5267041<<<H<7<6TINR2K15|5538061P|RuwrjywwvHkgg635|220120800617890|KE 71 06 16
armen|F|Civil Partner|1_O@-O.6oD5RZc.t.Y7-.JzA|约旦|1(256)- 948/7769|709 83 5413|D<05F<I<12SND0560989D58021155JG9<9L4<<7<<V10|-8213804H|66OmwvRxWqtjx0ckQs|118069743807316|RK 10 92 86
zhiming|M|Single|_D._.V148H_99@a--V3H--.-hu2O--9e-0u-Nx-.Q.-O1Q-z2-.YiI|Kamerun|790  134  7541X4|771 95 6054|A66<8L<789QWZ1038917Y005722139G0U<<122<<5<21|7494661K|81EjqeGfMmllg3ygNb|129122B86866350|CM 48 37 65 B
claudinei|M|Separated|26N@7-RYaoC.-.-.71.Do|Вануату|+1535620 / 8310|713 78 0454|<<<632<<<1QAU5453581O0435251NPC8S5MF<HE28680|3960760P|RblufqzkiLuta168|754015627258453|EL 02 84 85 C
